State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR
AK,HC.gov,B,All,"8,461",$537 ,$184 ,0.73,0.09,0,0,0,0.09,0.72,$490 ,$51 ,0.17,0.06,0.19,0.19,0.16,0.21,0.01,0.48,0.52,0.07,0.06,0,0.01,0.64,0.01,0.05,0.15,0.04,0.84,0.13,0.52,0.48,N/A,N/A,N/A,N/A,N/A,0.18,0.03,0.12,0.18,0.2,0.25,0.04
AK,HC.gov,S,All,"3,099",$946 ,$160 ,0.94,0.91,0.06,0.43,0.42,0,0.94,$837 ,$114 ,0.06,0.07,0.18,0.17,0.18,0.31,0.03,0.44,0.56,0,0.09,0.01,0.01,0.63,0.02,0.03,0.21,0.06,0.81,0.13,0.47,0.53,N/A,N/A,N/A,N/A,N/A,0.01,0.38,0.45,0.06,0.02,0.02,0.06
AK,HC.gov,G,All,"6,624",$786 ,$229 ,0.82,0.01,0,0,0,0.01,0.82,$680 ,$125 ,0.15,0.06,0.17,0.17,0.17,0.27,0.01,0.47,0.53,0.01,0.08,0,0.01,0.66,0.01,0.04,0.19,0.05,0.84,0.11,0.49,0.51,N/A,N/A,N/A,N/A,N/A,0.11,0.07,0.21,0.27,0.16,0.15,0.04
AL,HC.gov,B,All,"21,997",$527 ,$140 ,0.78,0.02,0,0,0,0.02,0.78,$497 ,$41 ,0.05,0.09,0.23,0.2,0.19,0.24,0,0.47,0.53,0.02,0.05,0,0.15,0.6,0.01,0.02,0.15,0.03,0.86,0.11,0.24,0.76,N/A,N/A,N/A,N/A,N/A,0.09,0.13,0.16,0.2,0.15,0.19,0.08
AL,HC.gov,S,All,"137,734",$761 ,$100 ,0.95,0.85,0.1,0.24,0.5,0,0.95,$699 ,$67 ,0.02,0.11,0.17,0.19,0.22,0.29,0.01,0.4,0.6,0,0.06,0,0.18,0.57,0.01,0.02,0.15,0.03,0.87,0.1,0.29,0.71,N/A,N/A,N/A,N/A,N/A,0.01,0.51,0.25,0.11,0.05,0.05,0.02
AL,HC.gov,G,All,"7,242",$865 ,$425 ,0.76,0,0,0,0,0,0.76,$576 ,$328 ,0.06,0.09,0.2,0.2,0.2,0.24,0,0.46,0.54,0.01,0.03,0,0.09,0.76,0.01,0.02,0.09,0.02,0.92,0.06,0.27,0.73,N/A,N/A,N/A,N/A,N/A,0.09,0.08,0.09,0.26,0.18,0.21,0.1
AR,HC.gov,B,All,"18,289",$483 ,$185 ,0.78,0.03,0,0,0,0.03,0.78,$381 ,$116 ,0.11,0.08,0.14,0.14,0.18,0.34,0.01,0.46,0.54,0.02,0.03,0,0.06,0.59,0.01,0.03,0.27,0.04,0.83,0.14,0.36,0.64,N/A,N/A,N/A,N/A,N/A,0.11,0.09,0.17,0.21,0.2,0.19,0.04
AR,HC.gov,S,All,"46,112",$567 ,$177 ,0.9,0.77,0.18,0.35,0.23,0,0.89,$436 ,$137 ,0.08,0.08,0.15,0.16,0.2,0.32,0.01,0.43,0.57,0,0.04,0,0.06,0.61,0.01,0.01,0.27,0.04,0.83,0.12,0.39,0.61,N/A,N/A,N/A,N/A,N/A,0.04,0.24,0.36,0.19,0.08,0.07,0.02
AR,HC.gov,G,All,"1,693",$650 ,$507 ,0.46,0,0,0,0,0,0.45,$315 ,$383 ,0.17,0.07,0.18,0.18,0.16,0.22,0,0.44,0.56,*,0.02,*,0.04,0.74,*,0.02,0.16,0.03,0.89,0.08,0.31,0.69,N/A,N/A,N/A,N/A,N/A,0.36,*,*,0.16,0.17,0.15,0.09
AZ,HC.gov,B,All,"60,671",$530 ,$225 ,0.7,0.01,0,0,0,0.01,0.69,$441 ,$102 ,0.17,0.07,0.12,0.13,0.17,0.34,0.01,0.47,0.53,0.01,0.05,0,0.02,0.61,0.03,0.03,0.26,0.15,0.72,0.13,0.12,0.88,N/A,N/A,N/A,N/A,N/A,0.22,0.04,0.11,0.21,0.18,0.2,0.04
