State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_Ethncty,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR
AK,HC.gov,B,All,"7,535",$579 ,$204 ,0.4,0.74,0.11,0,0,0,0.11,0.73,$517 ,$73 ,0.17,0.06,0.16,0.18,0.17,0.24,0.01,0.49,0.51,0.04,0.09,0.05,0,0.01,0.6,0.01,0.04,0.16,0.1,0.05,0,0.01,0.62,0.02,0.05,0.17,0.81,0.15,0.52,0.48,N/A,N/A,N/A,N/A,N/A,0,0.01,0.02,0.07,0.11,0.14,0.25,0.11,0.15,0.14
AK,HC.gov,S,All,"4,549",$948 ,$63 ,0.45,0.97,0.94,0.08,0.5,0.36,0,0.97,$912 ,$39 ,0.07,0.08,0.2,0.18,0.17,0.27,0.03,0.45,0.55,0.07,0,0.1,0.01,0.01,0.58,0.01,0.03,0.19,0,0.1,0.01,0.01,0.6,0.02,0.03,0.22,0.8,0.13,0.46,0.54,N/A,N/A,N/A,N/A,N/A,0.04,0.13,0.33,0.51,0.08,0.01,0.01,0,0,0.01
AK,HC.gov,G,All,"10,702",$778 ,$166 ,0.37,0.89,0.01,0,0,0,0.01,0.89,$691 ,$96 ,0.17,0.06,0.17,0.18,0.16,0.25,0.01,0.48,0.52,0.05,0.01,0.06,0,0.01,0.64,0.01,0.04,0.18,0.01,0.06,0,0.01,0.66,0.02,0.04,0.2,0.81,0.14,0.48,0.52,N/A,N/A,N/A,N/A,N/A,0,0.01,0.02,0.1,0.27,0.2,0.2,0.06,0.08,0.06
AL,HC.gov,B,All,"27,344",$567 ,$117 ,0.53,0.86,0.02,0,0,0,0.02,0.86,$523 ,$53 ,0.05,0.09,0.21,0.19,0.2,0.25,0,0.48,0.52,0.03,0.01,0.05,0,0.16,0.56,0.01,0.02,0.16,0.01,0.05,0,0.16,0.57,0.01,0.02,0.17,0.86,0.12,0.24,0.76,N/A,N/A,N/A,N/A,N/A,0.03,0.09,0.11,0.13,0.17,0.15,0.21,0.07,0.08,0.05
AL,HC.gov,S,All,"179,331",$792 ,$74 ,0.52,0.97,0.84,0.12,0.24,0.48,0,0.97,$741 ,$55 ,0.02,0.11,0.18,0.19,0.22,0.27,0.01,0.41,0.59,0.03,0,0.05,0,0.19,0.52,0.01,0.02,0.19,0,0.05,0,0.19,0.53,0.01,0.02,0.19,0.84,0.13,0.31,0.69,N/A,N/A,N/A,N/A,N/A,0.01,0.39,0.48,0.25,0.12,0.06,0.05,0.01,0.01,0
AL,HC.gov,G,All,"10,501",$898 ,$378 ,0,0.87,0,0,0,0,0,0.87,$599 ,$319 ,0.07,0.1,0.22,0.21,0.19,0.21,0,0.45,0.55,0.03,0.01,0.03,0,0.11,0.71,0,0.01,0.1,0.01,0.03,0,0.11,0.72,0.01,0.02,0.11,0.9,0.07,0.31,0.69,N/A,N/A,N/A,N/A,N/A,0.04,0.05,0.07,0.09,0.24,0.18,0.21,0.07,0.06,0.04
AR,HC.gov,B,All,"25,272",$479 ,$155 ,0.19,0.83,0.03,0,0,0,0.03,0.83,$390 ,$105 ,0.13,0.08,0.15,0.15,0.17,0.32,0,0.47,0.53,0.04,0.02,0.03,0,0.05,0.57,0,0.02,0.27,0.02,0.03,0,0.05,0.58,0.01,0.02,0.28,0.82,0.14,0.36,0.64,N/A,N/A,N/A,N/A,N/A,0,0.01,0.05,0.1,0.2,0.21,0.21,0.07,0.08,0.07
AR,HC.gov,S,All,"60,206",$557 ,$113 ,0.19,0.94,0.78,0.18,0.33,0.27,0,0.93,$476 ,$87 ,0.09,0.09,0.15,0.17,0.19,0.3,0.01,0.44,0.56,0.04,0,0.03,0,0.06,0.52,0,0.01,0.33,0,0.03,0,0.06,0.54,0.01,0.01,0.35,0.77,0.19,0.41,0.59,N/A,N/A,N/A,N/A,N/A,0.01,0.06,0.27,0.33,0.18,0.08,0.06,0.02,0.02,0.03
AR,HC.gov,G,All,"2,736",$624 ,$417 ,0,0.64,0.01,0,0,0,0.01,0.63,$327 ,$325 ,0.18,0.07,0.19,0.18,0.18,0.21,0,0.43,0.57,0.03,0,0.03,0,0.04,0.69,0,0.02,0.19,0.01,0.03,0,0.04,0.7,0.01,0.02,0.2,0.87,0.1,0.31,0.69,N/A,N/A,N/A,N/A,N/A,0.01,0,0.01,0.03,0.15,0.2,0.18,0.08,0.13,0.19
AZ,HC.gov,B,All,"75,030",$501 ,$187 ,0.22,0.77,0.01,0,0,0,0.01,0.77,$409 ,$109 ,0.17,0.07,0.12,0.13,0.17,0.33,0.01,0.48,0.52,0.15,0.01,0.05,0,0.02,0.49,0.01,0.02,0.25,0.01,0.05,0,0.02,0.56,0.03,0.03,0.3,0.68,0.18,0.11,0.89,N/A,N/A,N/A,N/A,N/A,0,0.01,0.04,0.09,0.18,0.19,0.22,0.08,0.09,0.12
