State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_Ethncty,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt,BHP_New_Enrl,BHP_Renrl,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
AK,HC.gov,"20,813","32,039","26,341","22,637","5,865","22,786","5,909","16,877","13,049","3,828","4,499","8,550","1,882","3,685","5,338","6,689","8,966","11,995","21,670","21,756","21,850","21,915","22,786",$746 ,$158 ,"8,962","19,504","5,193",346,"2,270","1,658",919,"19,367",$692 ,$77 ,"3,383","1,536","3,962","4,103","3,813","5,715",274,"10,867","11,919","1,155",861,"1,457",84,208,"13,949",186,852,"4,034",888,"1,464",89,227,"14,385",368,950,"4,415","18,420","3,211","11,186","11,600",+,"7,535","4,549","10,702",+,286,742,"1,906","3,948","4,066","3,223","4,168","1,494","2,022","1,673","4,425",251,301,"1,048","1,035",783,955,52,+,+,+,+,+,+,+,+,+,+,+
AL,HC.gov,"202,752","274,988","256,905","222,658","18,125","219,314","50,917","168,397","115,551","52,846","30,240","85,311","19,737","34,889","48,717","57,618","75,609","98,774","205,985","207,625","209,393","211,036","219,314",$765 ,$96 ,"107,621","207,047","150,977","20,757","43,599","86,014",607,"206,677",$710 ,$66 ,"5,970","24,241","41,074","42,324","46,191","58,276","1,238","91,877","127,437","6,149",988,"10,668",78,"40,649","117,197","1,157","3,612","38,816","1,044","10,703",93,"40,817","119,764","2,304","3,916","40,673","185,100","28,065","65,992","153,322","2,138","27,344","179,331","10,501",+,"5,153","73,020","90,282","48,494","28,241","16,376","17,728","5,331","4,824","2,885","65,574",614,"7,389","14,574","13,862","13,355","15,271",509,+,+,+,+,+,+,+,+,+,+,+
AR,HC.gov,"82,047","120,487","101,385","89,133","19,959","88,226","23,764","64,462","35,014","29,448","11,364","23,650","5,498","10,535","15,617","18,852","25,389","33,643","82,042","82,706","83,519","84,977","88,226",$537 ,$134 ,"16,491","79,206","47,417","10,817","19,629","16,115",856,"78,977",$449 ,$97 ,"8,972","7,784","13,172","14,331","16,591","26,633",743,"39,645","48,581","3,537",616,"2,759",111,"4,825","47,638",312,"1,198","27,230",644,"2,774",117,"4,869","48,883",999,"1,321","28,619","69,614","15,075","34,500","53,726",12,"25,272","60,206","2,736",+,511,"3,806","17,595","22,570","16,447","10,430","9,677","3,219","3,711","4,066","10,468","1,533",755,"1,750","1,915","1,812","2,553",150,+,+,+,+,+,+,+,+,+,+,+
AZ,HC.gov,"166,660","258,899","233,857","199,673","26,874","199,706","48,940","150,766","98,134","52,632","53,193","44,941","11,140","23,401","35,511","43,944","60,696","82,805","187,564","188,345","189,310","191,212","199,706",$554 ,$180 ,"31,074","167,580","86,729","24,502","33,397","27,698","1,132","167,009",$446 ,$120 ,"30,161","16,616","25,540","26,715","35,247","63,127","2,300","92,186","107,520","31,662",824,"13,344",172,"3,972","91,389","1,409","3,951","52,983","1,082","13,507",223,"4,297","106,064","5,646","5,301","63,586","130,445","37,599","19,609","180,097",371,"75,030","116,449","7,856",+,"1,508","7,129","29,931","40,418","39,046","24,356","26,448","9,372","11,717","16,910","27,457","3,239","1,994","4,759","4,793","4,852","7,489",331,+,+,+,+,+,+,+,+,+,+,+
CA,SBM,"3,434,646","6,763,131","2,511,840","2,020,949",NR,"1,777,442","255,575","1,521,867","475,658","1,046,209",NR,NR,"248,931","299,194","337,023","368,932","398,488","440,149","1,726,135","1,732,996","1,758,970","1,762,707","1,781,491",$579 ,$150 ,"426,882","1,600,067","741,179",NR,NR,NR,NR,"1,599,264",$459 ,$115 ,"127,513","160,915","324,530","282,664","349,299","514,723","17,798","863,808","912,666","404,338","4,025","337,908","1,659","39,877","487,561","106,605","37,659","357,810","6,007","340,282","1,927","41,270","567,076","174,289","46,721",NR,NR,NR,NR,NR,"19,025","469,308","1,032,566","178,460","78,083","14,370","16,642","259,234","448,629","271,450","232,359","250,368","83,141","91,781","126,110","319,463","16,566","27,002","76,324","58,057","58,958","78,467","4,088",+,+,+,+,+,+,+,+,+,+,+
CO,SBM,"162,307","290,806","278,541","154,055",NR,"198,412","37,164","161,248","75,069","86,179",NR,NR,"12,592","24,477","36,073","45,893","62,104","72,945","180,737","182,273","184,933","188,256","197,516",$466 ,$191 ,"45,154","147,910","53,033",NR,NR,NR,NR,"147,682",$368 ,$124 ,"21,044","14,506","34,448","32,677","32,591","53,300","9,846","96,110","102,302","9,631",482,"9,232",133,"1,487","80,214",+,"3,148","94,085",620,"9,299",153,"1,582","84,626",+,"3,637",NR,NR,NR,NR,NR,"2,550","95,262","72,116","28,484",+,"6,663","2,887","15,241","33,410","26,181","25,775","34,742","10,413","15,005","30,982","56,718","5,624","3,492","14,314","11,146","8,315","11,198","2,629",+,+,+,+,+,+,+,+,+,+,+
CT,SBM,"209,349","373,277","125,807","103,781","236,157","112,633","19,267","93,366","22,143","71,223",NR,NR,"5,053","10,579","16,041","17,863","20,929","25,303","104,308","105,193","107,543","109,242","112,633",$741 ,$207 ,"32,030","91,890","40,805",NR,NR,NR,NR,"91,834",$654 ,$115 ,"8,760","9,406","16,072","15,406","21,262","39,559","2,168","52,530","60,103","12,171",70,"5,201",36,"4,567","56,096","1,579","1,577","31,336",95,"5,265",52,"4,768","58,344","2,197","1,753",NR,NR,NR,NR,NR,"1,861","42,645","54,037","12,398","1,692","2,167","4,004","7,738","16,236","14,791","12,012","19,973","7,725","13,723","18,268","5,155",360,498,985,802,906,"1,387",217,+,+,+,+,+,+,+,+,+,+,+
DC,SBM,"19,189","23,939","19,052","4,622","1,700","15,989","2,753","13,236","1,244","11,992",NR,NR,289,493,681,852,"1,185","1,520","15,832","15,881","15,942","15,628","15,926",$559 ,$502 ,39,"2,624",340,NR,NR,NR,NR,"2,622",$407 ,$264 ,"1,634",914,"4,456","3,643","2,539","2,593",210,"7,606","8,383",276,32,908,2,"2,315","7,506",313,629,"4,008",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,570,"4,366","3,951","4,109","2,993",550,98,127,129,556,527,722,446,328,"12,604","4,519",319,203,"1,345","1,168",713,565,206,+,+,+,+,+,+,+,+,+,+,+
DE,HC.gov,"26,526","39,811","35,979","31,778","4,154","32,113","7,087","25,026","15,308","9,718","5,338","9,970","2,313","4,753","6,726","8,030","10,759","14,045","30,518","30,665","30,747","31,066","32,113",$706 ,$169 ,"8,141","28,564","7,527",709,"4,058","2,748",12,"28,543",$604 ,$114 ,"4,079","2,459","4,665","4,734","5,532","10,170",474,"14,511","17,602","1,987",43,"2,611",12,"3,363","16,706",300,585,"6,506",45,"2,617",21,"3,444","17,534",655,685,"7,112","26,530","3,596","8,275","23,838",164,"7,908","8,097","14,999",945,246,"1,080","3,134","6,099","5,633","4,493","5,770","2,188","2,875","1,675","4,298",302,323,753,757,795,"1,278",90,+,+,+,+,+,+,+,+,+,+,+
FL,HC.gov,"2,129,586","3,001,664","2,936,966","2,771,751","63,419","2,723,094","593,885","2,129,209","1,623,535","505,674","1,064,796","558,739","241,216","519,281","773,845","955,838","1,220,238","1,531,372","2,595,563","2,614,749","2,638,289","2,648,413","2,723,094",$611 ,$80 ,"1,033,293","2,622,057","1,718,572","74,923","330,079","1,312,092","1,478","2,620,652",$552 ,$60 ,"238,808","303,689","401,706","475,045","570,924","672,283","60,639","1,260,457","1,462,637","542,849","1,936","72,070",831,"166,590","526,691","17,640","19,958","1,374,529","2,504","73,004","1,090","172,006","779,010","53,926","29,069","1,612,485","964,712","1,215,533","83,322","2,639,772","4,416","866,641","1,764,821","72,696","14,520","25,219","1,298,514","1,568,965","444,196","256,024","149,771","143,782","42,843","52,339","39,955","237,120","17,827","22,934","40,964","44,496","48,710","58,915","3,274",+,+,+,+,+,+,+,+,+,+,+
